user_id,item_id,rating,true_profile
0,0,5,Comedy Lover
0,1,5,Comedy Lover
0,2,3,Comedy Lover
0,3,1,Comedy Lover
0,4,2,Comedy Lover
0,5,1,Comedy Lover
1,0,2,Old Movie Fan
1,1,3,Old Movie Fan
1,2,3,Old Movie Fan
1,3,1,Old Movie Fan
1,4,5,Old Movie Fan
1,5,5,Old Movie Fan
2,0,4,Comedy Lover
2,1,5,Comedy Lover
2,2,2,Comedy Lover
2,3,2,Comedy Lover
2,4,2,Comedy Lover
2,5,1,Comedy Lover
3,0,4,Effects Hater
3,1,5,Effects Hater
3,2,1,Effects Hater
3,3,1,Effects Hater
3,4,4,Effects Hater
3,5,4,Effects Hater
4,0,5,Comedy Lover
4,1,5,Comedy Lover
4,2,2,Comedy Lover
4,3,3,Comedy Lover
4,4,2,Comedy Lover
4,5,1,Comedy Lover
5,0,2,Person with Bad Taste
5,1,2,Person with Bad Taste
5,2,3,Person with Bad Taste
5,3,5,Person with Bad Taste
5,4,1,Person with Bad Taste
5,5,5,Person with Bad Taste
6,0,1,Old Movie Fan
6,1,3,Old Movie Fan
6,2,3,Old Movie Fan
6,3,1,Old Movie Fan
6,4,5,Old Movie Fan
6,5,3,Old Movie Fan
7,0,1,Old Movie Fan
7,1,4,Old Movie Fan
7,2,3,Old Movie Fan
7,3,2,Old Movie Fan
7,4,5,Old Movie Fan
7,5,4,Old Movie Fan
8,0,1,Old Movie Fan
8,1,4,Old Movie Fan
8,2,3,Old Movie Fan
8,3,1,Old Movie Fan
8,4,5,Old Movie Fan
8,5,4,Old Movie Fan
9,0,1,Old Movie Fan
9,1,3,Old Movie Fan
9,2,3,Old Movie Fan
9,3,1,Old Movie Fan
9,4,5,Old Movie Fan
9,5,5,Old Movie Fan
10,0,4,Comedy Lover
10,1,5,Comedy Lover
10,2,2,Comedy Lover
10,3,2,Comedy Lover
10,4,3,Comedy Lover
10,5,1,Comedy Lover
11,0,1,Old Movie Fan
11,1,3,Old Movie Fan
11,2,3,Old Movie Fan
11,3,1,Old Movie Fan
11,4,5,Old Movie Fan
11,5,4,Old Movie Fan
12,0,4,Effects Hater
12,1,5,Effects Hater
12,2,2,Effects Hater
12,3,2,Effects Hater
12,4,5,Effects Hater
12,5,4,Effects Hater
13,0,5,Comedy Lover
13,1,5,Comedy Lover
13,2,1,Comedy Lover
13,3,2,Comedy Lover
13,4,2,Comedy Lover
13,5,1,Comedy Lover
14,0,5,Comedy Lover
14,1,5,Comedy Lover
14,2,2,Comedy Lover
14,3,2,Comedy Lover
14,4,2,Comedy Lover
14,5,1,Comedy Lover
15,0,5,Comedy Lover
15,1,5,Comedy Lover
15,2,1,Comedy Lover
15,3,2,Comedy Lover
15,4,2,Comedy Lover
15,5,1,Comedy Lover
16,0,3,Effects Hater
16,1,5,Effects Hater
16,2,1,Effects Hater
16,3,1,Effects Hater
16,4,5,Effects Hater
16,5,5,Effects Hater
17,0,5,Comedy Lover
17,1,4,Comedy Lover
17,2,2,Comedy Lover
17,3,2,Comedy Lover
17,4,2,Comedy Lover
17,5,1,Comedy Lover
18,0,5,Comedy Lover
18,1,5,Comedy Lover
18,2,2,Comedy Lover
18,3,2,Comedy Lover
18,4,2,Comedy Lover
18,5,1,Comedy Lover
19,0,1,Old Movie Fan
19,1,4,Old Movie Fan
19,2,3,Old Movie Fan
19,3,2,Old Movie Fan
19,4,5,Old Movie Fan
19,5,5,Old Movie Fan
20,0,4,Effects Hater
20,1,5,Effects Hater
20,2,1,Effects Hater
20,3,1,Effects Hater
20,4,5,Effects Hater
20,5,4,Effects Hater
21,0,4,Effects Hater
21,1,5,Effects Hater
21,2,1,Effects Hater
21,3,1,Effects Hater
21,4,5,Effects Hater
21,5,4,Effects Hater
22,0,5,Comedy Lover
22,1,5,Comedy Lover
22,2,2,Comedy Lover
22,3,3,Comedy Lover
22,4,2,Comedy Lover
22,5,1,Comedy Lover
23,0,4,Effects Hater
23,1,4,Effects Hater
23,2,1,Effects Hater
23,3,1,Effects Hater
23,4,5,Effects Hater
23,5,4,Effects Hater
24,0,5,Comedy Lover
24,1,5,Comedy Lover
24,2,2,Comedy Lover
24,3,1,Comedy Lover
24,4,2,Comedy Lover
24,5,1,Comedy Lover
25,0,1,Person with Bad Taste
25,1,2,Person with Bad Taste
25,2,3,Person with Bad Taste
25,3,4,Person with Bad Taste
25,4,1,Person with Bad Taste
25,5,5,Person with Bad Taste
26,0,1,Old Movie Fan
26,1,3,Old Movie Fan
26,2,3,Old Movie Fan
26,3,1,Old Movie Fan
26,4,5,Old Movie Fan
26,5,3,Old Movie Fan
27,0,4,Effects Hater
27,1,5,Effects Hater
27,2,1,Effects Hater
27,3,1,Effects Hater
27,4,4,Effects Hater
27,5,5,Effects Hater
28,0,3,Effects Hater
28,1,5,Effects Hater
28,2,1,Effects Hater
28,3,1,Effects Hater
28,4,5,Effects Hater
28,5,4,Effects Hater
29,0,4,Effects Hater
