user_id,item_id,rating,true_profile
0,0,5,Comedy Lover
0,2,3,Comedy Lover
0,3,1,Comedy Lover
1,0,2,Old Movie Fan
1,2,3,Old Movie Fan
1,5,5,Old Movie Fan
2,1,5,Comedy Lover
2,2,2,Comedy Lover
2,3,2,Comedy Lover
3,1,5,Effects Hater
3,2,1,Effects Hater
3,5,4,Effects Hater
4,2,2,Comedy Lover
4,4,2,Comedy Lover
4,5,1,Comedy Lover
5,0,2,Person with Bad Taste
5,2,3,Person with Bad Taste
5,5,5,Person with Bad Taste
6,0,1,Old Movie Fan
6,1,3,Old Movie Fan
6,3,1,Old Movie Fan
7,0,1,Old Movie Fan
7,1,4,Old Movie Fan
7,2,3,Old Movie Fan
8,0,1,Old Movie Fan
8,1,4,Old Movie Fan
8,2,3,Old Movie Fan
9,0,1,Old Movie Fan
9,1,3,Old Movie Fan
9,5,5,Old Movie Fan
10,0,4,Comedy Lover
10,2,2,Comedy Lover
10,5,1,Comedy Lover
11,2,3,Old Movie Fan
11,3,1,Old Movie Fan
11,5,4,Old Movie Fan
12,2,2,Effects Hater
12,3,2,Effects Hater
12,5,4,Effects Hater
13,1,5,Comedy Lover
13,3,2,Comedy Lover
13,4,2,Comedy Lover
14,0,5,Comedy Lover
14,2,2,Comedy Lover
14,3,2,Comedy Lover
15,3,2,Comedy Lover
15,4,2,Comedy Lover
15,5,1,Comedy Lover
16,0,3,Effects Hater
16,2,1,Effects Hater
16,4,5,Effects Hater
17,1,4,Comedy Lover
17,4,2,Comedy Lover
17,5,1,Comedy Lover
18,3,2,Comedy Lover
18,4,2,Comedy Lover
18,5,1,Comedy Lover
19,0,1,Old Movie Fan
19,3,2,Old Movie Fan
19,5,5,Old Movie Fan
20,1,5,Effects Hater
20,2,1,Effects Hater
20,3,1,Effects Hater
21,1,5,Effects Hater
21,2,1,Effects Hater
21,5,4,Effects Hater
22,2,2,Comedy Lover
22,4,2,Comedy Lover
22,5,1,Comedy Lover
23,0,4,Effects Hater
23,1,4,Effects Hater
23,3,1,Effects Hater
24,1,5,Comedy Lover
24,3,1,Comedy Lover
24,5,1,Comedy Lover
25,1,2,Person with Bad Taste
25,3,4,Person with Bad Taste
25,4,1,Person with Bad Taste
26,1,3,Old Movie Fan
26,2,3,Old Movie Fan
26,3,1,Old Movie Fan
27,1,5,Effects Hater
27,2,1,Effects Hater
27,5,5,Effects Hater
28,1,5,Effects Hater
28,4,5,Effects Hater
28,5,4,Effects Hater
29,1,5,Effects Hater
29,4,5,Effects Hater
29,5,3,Effects Hater
30,2,2,Comedy Lover
30,4,1,Comedy Lover
30,5,1,Comedy Lover
31,0,1,Old Movie Fan
31,2,2,Old Movie Fan
31,3,1,Old Movie Fan
32,0,1,Old Movie Fan
32,1,2,Old Movie Fan
32,4,5,Old Movie Fan
33,0,5,Comedy Lover
33,2,1,Comedy Lover
33,4,2,Comedy Lover
34,2,1,Effects Hater
34,4,4,Effects Hater
34,5,4,Effects Hater
35,3,2,Comedy Lover
35,4,2,Comedy Lover
35,5,1,Comedy Lover
36,3,2,Comedy Lover
36,4,2,Comedy Lover
36,5,1,Comedy Lover
37,0,5,Comedy Lover
37,2,3,Comedy Lover
37,4,1,Comedy Lover
38,0,4,Effects Hater
38,2,1,Effects Hater
38,4,5,Effects Hater
39,0,1,Old Movie Fan
39,1,3,Old Movie Fan
39,3,1,Old Movie Fan
40,0,1,Old Movie Fan
40,3,1,Old Movie Fan
40,5,5,Old Movie Fan
41,0,1,Old Movie Fan
41,2,3,Old Movie Fan
41,5,4,Old Movie Fan
42,0,3,Effects Hater
42,2,1,Effects Hater
42,4,5,Effects Hater
43,2,2,Old Movie Fan
43,4,5,Old Movie Fan
43,5,3,Old Movie Fan
44,2,2,Old Movie Fan
44,3,2,Old Movie Fan
44,4,5,Old Movie Fan
45,0,5,Effects Hater
45,3,1,Effects Hater
45,5,3,Effects Hater
46,0,2,Person with Bad Taste
46,3,5,Person with Bad Taste
46,5,5,Person with Bad Taste
47,2,2,Comedy Lover
47,3,1,Comedy Lover
47,5,1,Comedy Lover
48,0,1,Old Movie Fan
