user_id,Jackass,Meet the Parents,Star Wars Prequels,Emoji Movie,12 Angry Men,The Godfather
0,5.0,,3.0,1.0,,
1,2.0,,3.0,,,5.0
2,,5.0,2.0,2.0,,
3,,5.0,1.0,,,4.0
4,,,2.0,,2.0,1.0
5,2.0,,3.0,,,5.0
6,1.0,3.0,,1.0,,
7,1.0,4.0,3.0,,,
8,1.0,4.0,3.0,,,
9,1.0,3.0,,,,5.0
10,4.0,,2.0,,,1.0
11,,,3.0,1.0,,4.0
12,,,2.0,2.0,,4.0
13,,5.0,,2.0,2.0,
14,5.0,,2.0,2.0,,
15,,,,2.0,2.0,1.0
16,3.0,,1.0,,5.0,
17,,4.0,,,2.0,1.0
18,,,,2.0,2.0,1.0
19,1.0,,,2.0,,5.0
20,,5.0,1.0,1.0,,
21,,5.0,1.0,,,4.0
22,,,2.0,,2.0,1.0
23,4.0,4.0,,1.0,,
24,,5.0,,1.0,,1.0
25,,2.0,,4.0,1.0,
26,,3.0,3.0,1.0,,
27,,5.0,1.0,,,5.0
28,,5.0,,,5.0,4.0
29,,5.0,,,5.0,3.0
30,,,2.0,,1.0,1.0
31,1.0,,2.0,1.0,,
32,1.0,2.0,,,5.0,
33,5.0,,1.0,,2.0,
34,,,1.0,,4.0,4.0
35,,,,2.0,2.0,1.0
36,,,,2.0,2.0,1.0
37,5.0,,3.0,,1.0,
38,4.0,,1.0,,5.0,
39,1.0,3.0,,1.0,,
40,1.0,,,1.0,,5.0
41,1.0,,3.0,,,4.0
42,3.0,,1.0,,5.0,
43,,,2.0,,5.0,3.0
44,,,2.0,2.0,5.0,
45,5.0,,,1.0,,3.0
46,2.0,,,5.0,,5.0
47,,,2.0,1.0,,1.0
48,1.0,,,,5.0,4.0
49,,5.0,,,5.0,4.0
50,,5.0,,1.0,5.0,
51,,3.0,2.0,,4.0,
52,5.0,,,2.0,2.0,
53,5.0,,,2.0,,1.0
54,,,2.0,2.0,2.0,
55,,3.0,3.0,,,4.0
56,,5.0,,1.0,,4.0
57,,,2.0,3.0,3.0,
58,,5.0,1.0,,,4.0
59,,2.0,,4.0,2.0,
60,,,1.0,1.0,,4.0
61,4.0,,1.0,1.0,,
62,,,1.0,1.0,5.0,
63,4.0,,,,2.0,1.0
64,5.0,,2.0,,,1.0
65,5.0,5.0,,,,1.0
66,5.0,,1.0,,4.0,
67,1.0,3.0,2.0,,,
68,4.0,5.0,1.0,,,
69,,5.0,1.0,,,4.0
70,4.0,5.0,,,,1.0
71,1.0,,,1.0,4.0,
72,5.0,,,2.0,1.0,
73,4.0,,,1.0,5.0,
74,5.0,,,,2.0,1.0
75,5.0,5.0,,,2.0,
76,,,3.0,,2.0,1.0
77,4.0,5.0,,,5.0,
78,1.0,,3.0,2.0,,
79,,,2.0,1.0,5.0,
80,1.0,,,1.0,,4.0
81,4.0,,,,2.0,1.0
82,,,,2.0,2.0,1.0
83,5.0,,,,2.0,1.0
84,5.0,5.0,,,5.0,
85,1.0,2.0,,,1.0,
86,4.0,5.0,,1.0,,
87,,,1.0,1.0,5.0,
88,,5.0,1.0,,,1.0
89,1.0,,,5.0,,5.0
90,5.0,5.0,,,,1.0
91,4.0,,,,5.0,5.0
92,,,1.0,1.0,,3.0
93,5.0,,,2.0,2.0,
94,2.0,3.0,3.0,,,
95,5.0,,2.0,3.0,,
96,1.0,,,1.0,,3.0
97,,2.0,,,5.0,4.0
98,1.0,2.0,,,,5.0
99,4.0,,1.0,1.0,,
100,,,3.0,,5.0,4.0
101,4.0,,,,2.0,1.0
102,,,,1.0,5.0,4.0
103,,5.0,1.0,,5.0,
104,,3.0,,,5.0,4.0
105,,3.0,4.0,2.0,,
106,,,2.0,2.0,2.0,
107,4.0,,,1.0,,4.0
108,,5.0,2.0,,,1.0
109,,,,2.0,1.0,1.0
110,5.0,,2.0,,,1.0
111,4.0,,,2.0,,4.0
112,2.0,2.0,,,1.0,
113,,,2.0,1.0,,4.0
114,4.0,5.0,,,5.0,
115,,,2.0,,2.0,1.0
116,4.0,,2.0,,,5.0
117,,3.0,,2.0,5.0,
118,,5.0,,1.0,5.0,
119,4.0,5.0,,,,4.0
120,1.0,,,,4.0,3.0
121,4.0,,,1.0,5.0,
122,,4.0,2.0,,4.0,
123,,,,1.0,4.0,5.0
124,,,3.0,,2.0,1.0
125,,,3.0,2.0,,5.0
126,4.0,,,,5.0,5.0
127,1.0,2.0,,1.0,,
128,,5.0,,2.0,,1.0
129,1.0,3.0,,1.0,,
130,,,2.0,1.0,2.0,
131,5.0,,,2.0,,1.0
132,,3.0,,,4.0,4.0
133,5.0,5.0,,,2.0,
134,5.0,,2.0,,2.0,
135,,5.0,2.0,2.0,,
136,1.0,,3.0,,,4.0
137,3.0,,1.0,,5.0,
138,5.0,,2.0,2.0,,
139,5.0,5.0,,1.0,,
140,3.0,,,2.0,,4.0
141,,,,1.0,5.0,3.0
142,,,2.0,2.0,,2.0
143,,5.0,1.0,,,3.0
144,,3.0,,1.0,,4.0
145,,,3.0,1.0,1.0,
146,,5.0,,,5.0,3.0
147,,5.0,1.0,,,4.0
148,4.0,,,,2.0,2.0
149,5.0,,,1.0,4.0,
150,,5.0,1.0,1.0,,
151,4.0,4.0,,,,4.0
152,5.0,,2.0,2.0,,
153,,5.0,2.0,,3.0,
154,,,2.0,5.0,1.0,
155,5.0,,2.0,2.0,,
156,,5.0,,1.0,5.0,
157,5.0,5.0,,1.0,,
158,,,4.0,1.0,,4.0
159,5.0,,2.0,,,1.0
160,,,1.0,,5.0,3.0
161,,5.0,,1.0,2.0,
162,1.0,2.0,3.0,,,
163,,,2.0,,1.0,1.0
164,,,3.0,2.0,,1.0
165,1.0,,3.0,1.0,,
166,,3.0,3.0,,5.0,
167,,,3.0,2.0,5.0,
168,5.0,5.0,,,,4.0
169,5.0,5.0,2.0,,,
170,,5.0,,1.0,,4.0
171,5.0,5.0,2.0,,,
172,,5.0,2.0,2.0,,
173,,2.0,3.0,,,5.0
174,2.0,,3.0,4.0,,
175,,,3.0,1.0,2.0,
176,,5.0,2.0,3.0,,
177,,3.0,2.0,,,4.0
178,4.0,,1.0,2.0,,
179,4.0,5.0,,,,4.0
180,,4.0,1.0,,5.0,
181,,4.0,,1.0,5.0,
182,,5.0,1.0,,5.0,
183,,,2.0,,4.0,4.0
184,1.0,,,1.0,,4.0
185,5.0,,1.0,,,4.0
186,,2.0,4.0,,5.0,
187,5.0,5.0,,1.0,,
188,4.0,,,1.0,,4.0
189,5.0,4.0,1.0,,,
190,5.0,5.0,,2.0,,
191,,5.0,,2.0,,2.0
192,,,3.0,,5.0,5.0
193,,,,2.0,1.0,1.0
194,,,2.0,2.0,1.0,
195,,3.0,,2.0,5.0,
196,,3.0,3.0,1.0,,
197,,,4.0,,5.0,4.0
198,1.0,,,1.0,4.0,
199,5.0,,,,3.0,1.0
200,,5.0,,,2.0,1.0
201,1.0,,3.0,2.0,,
202,,4.0,2.0,,,1.0
203,4.0,5.0,,,2.0,
204,,4.0,,2.0,2.0,
205,,4.0,,1.0,,4.0
206,,3.0,3.0,,5.0,
207,5.0,,,,3.0,1.0
208,5.0,,,,2.0,1.0
209,5.0,5.0,,2.0,,
210,5.0,,2.0,2.0,,
211,4.0,5.0,3.0,,,
212,5.0,,,,2.0,2.0
213,1.0,,,1.0,5.0,
214,5.0,,,3.0,,1.0
215,,3.0,,1.0,,4.0
216,4.0,5.0,,,,4.0
217,5.0,,,,2.0,1.0
218,5.0,,,,3.0,1.0
219,5.0,4.0,2.0,,,
220,,4.0,,1.0,4.0,
221,1.0,,3.0,,,5.0
222,5.0,,2.0,3.0,,
223,1.0,2.0,,,,5.0
224,,5.0,1.0,,5.0,
225,,4.0,1.0,,,4.0
226,,,1.0,1.0,5.0,
227,,4.0,3.0,,,5.0
228,3.0,,,1.0,,4.0
229,4.0,,,1.0,5.0,
230,1.0,,,1.0,,4.0
231,4.0,,1.0,,,5.0
232,,,1.0,2.0,3.0,
233,,5.0,,,2.0,1.0
234,,3.0,3.0,,5.0,
235,1.0,2.0,,1.0,,
236,,2.0,3.0,,5.0,
237,1.0,4.0,3.0,,,
